"745 סה""כ","3,164,400","3,359,000","3,320,300"
746,"26,300","19,900","27,750"
746,"2,500","1,500",
746,"44,000","40,300","55,074"
746,"99,200","86,700","86,966"
746,"43,400","18,500","52,796"
746,"42,000","39,100","47,302"
746,"15,400","5,700","6,460"
746,"294,000","264,900","369,920"
746,"8,700","7,700","7,000"
746,"28,300","27,700","27,000"
746,"52,900","69,900","70,000"
746,"5,100","4,900","5,000"
746,"4,930,100","5,035,200","5,200,000"
746,,,
746,"9,700","11,100","10,000"
746,,,
746,"26,700","13,200","45,000"
"746 סה""כ","5,628,300","5,646,300","6,010,268"
749,,,
749,,,
749,"2,400","7,000","3,216"
749,200,,
749,,,
749,"2,900","21,900","10,000"
749,"3,900","4,500","4,500"
749,"25,300","18,800","19,000"
749,"9,700","10,000","6,000"
749,"39,200","51,000","100,000"
749,,,
749,"109,400","100,000",
749,,,"200,000"
749,,,
"749 סה""כ",193000,213200,342716
751,"984,600","950,000",
751,"299,800","300,000",
"751 סה""כ","1,284,400","1,250,000",0
754,,,
754,,,
754,,,
754,"97,000","100,000","100,000"
"754 סה""כ","97,000","100,000","100,000"
761,"28,100",500,"6,600"
761,,"5,200",
761,"89,000","57,200","106,798"
761,"19,700","17,200","21,420"
761,"6,600","15,500","6,120"
761,"46,400","80,000","80,000"
761,,,
761,"935,500","900,000","950,000"
761,200,,
"761 סה""כ",1125500,1075600,1170938
762,"500,900","500,000","525,816"
762,"3,022,400","3,500,000","3,600,000"
"762 סה""כ","3,523,300","4,000,000","4,125,816"
764,,,
764,"7,300","5,400","9,520"
764,,,
764,,,
764,"10,400","8,000","10,000"
"764 סה""כ","17,700","13,400","19,520"
765,"45,000","48,600","49,000"
765,"21,900","310,000","310,000"
"765 סה""כ","66,900","358,600","359,000"
766,,,
766,"27,300","29,900","33,320"
766,"1,310,500","1,400,000","1,400,000"
766,,,
"766 סה""כ",1337800,1429900,1433320
767,"406,300","416,900","420,000"
767,"2,202,400","1,500,000","2,000,000"
767,"662,400","1,180,800","1,200,000"
767,"381,000","341,900","342,000"
767,"111,800",,"65,000"
767,"28,000",,"18,000"
767,"22,300",,"15,000"
"767 סה""כ","3,814,200",3439600,"4,060,000"
781,"20,100","20,300","20,000"
781,,,
"781 סה""כ",20100,20300,20000
782,,,
782,"16,500","9,300","30,000"
782,,,
"782 סה""כ",16500,9300,30000
797,,,
797,"59,900","60,000","60,000"
"797 סה""כ","59,900","60,000","60,000"
811,,,
811,,,
811,,,
811,"6,800","8,200","6,000"
811,"288,900","122,600","300,000"
811,600,300,804
811,"51,700","50,300","62,444"
811,"17,300","9,000","16,150"
811,"67,000","62,400","70,380"
811,"45,800","29,900","64,600"
811,"20,100","4,800","5,000"
811,"6,600","8,900","10,000"
811,"185,800","145,700","180,000"
811,"39,300","41,300","41,300"
811,"81,400","72,000","72,000"
811,,,
811,"237,700","250,000","250,000"
811,"387,400","400,000","400,000"
811,"77,300","60,000","60,000"
811,"842,400","900,000","1,837,000"
811,"196,500","200,000","200,000"
811,"35,100","40,000","40,000"
811,"560,500","540,000","540,000"
811,"166,600","200,000","200,000"
811,"1,500",600,"2,000"
811,,,
811,,,
811,,,
811,"1,000",200,"1,000"
811,"31,900","35,400","35,000"
"811 סה""כ","3,349,200","3,181,600","4,393,678"
812,"505,400","415,300","505,000"
812,"68,100","68,000","68,000"
812,"535,900","538,900","600,000"
812,"168,800","167,000","210,000"
812,,,
812,,,
812,"20,300","18,000","18,000"
812,,,
812,"97,800","98,700","89,420"
812,,,
812,"34,900","32,000","32,000"
812,"568,400","600,000","700,000"
812,"2,500",,
812,"7,000,000","7,000,000","7,000,000"
812,"618,800","600,000","620,000"
812,,,
812,"200,000","200,000","200,000"
812,,,
812,"2,400","2,400","2,400"
812,,,
812,,,
812,"647,100","600,000","600,000"
812,"10,779,400","10,000,000","11,000,000"
812,,,
812,"26,000","30,600","30,000"
812,,,
812,,,
812,"51,600",,"48,000"
812,,,
812,"2,000",,"2,000"
812,,,
812,,,
812,600,,600
812,,,
812,,,
812,200,,200
812,,,
812,,,
812,200,,200
812,"1,200","5,400",200
812,200,,200
812,,,
812,,,
812,"17,800","15,100","30,000"
812,200,,
812,,,
812,"45,500","46,000","46,000"
"812 סה""כ","21,395,300","20,437,400","21,802,220"
813,,,
813,"464,100","550,000","550,000"
813,"197,900","125,600","200,000"
813,"88,800","100,000","100,000"
813,,,
813,"172,700","180,000","180,000"
813,,,
813,"19,700","10,900","13,260"
813,"5,600","6,400","6,400"
813,,,
813,"87,500","4,200","87,500"
813,,,
813,"498,400",,"550,000"
813,,,
813,,,
813,"684,000","541,600","680,000"
813,,,
813,"102,900","100,000","100,000"
813,"717,100","814,000","814,000"
813,"152,900","250,000","250,000"
813,"210,600","220,000","220,000"
813,"3,446,200","2,200,000","2,500,000"
813,"113,500","150,000","150,000"
813,"120,100","109,600","106,800"
813,,,
813,,,
813,"29,800","28,000","28,000"
813,"58,800","36,500","36,500"
813,"393,700","404,200","400,000"
813,,,
813,,,
813,,,
813,"61,900","59,100","69,000"
813,,,
813,,,
813,"29,700","23,600","23,600"
813,"57,200","42,100","42,100"
813,"363,700","443,500","443,000"
813,,,
813,,,
813,"52,200","55,200","58,350"
813,"4,800",,
813,,,
813,"3,500","4,900","3,060"
813,"21,700","6,500","6,500"
813,"24,700","32,500","32,500"
813,"226,000","282,200","282,200"
813,,,
813,,,
813,,,
813,,,
813,,,
813,"7,400","6,700","6,700"
813,"40,600","10,900","11,000"
813,"111,800","110,800","110,800"
813,"6,900","8,000","8,000"
813,,,
813,"33,100","29,500","35,550"
813,,,
813,,,
813,"13,600","14,700","14,700"
813,"14,700","19,900","19,900"
813,,,
813,,,
813,"59,600","68,500","59,250"
813,,,
813,,,
813,"25,800","26,000","26,000"
813,"57,000","32,400","32,400"
813,"314,500","387,400","387,000"
813,,,
813,,,
813,,,
813,"38,300","41,500","42,300"
813,,,
813,,,
813,"15,900","16,600","16,600"
813,"18,800","22,700","22,700"
813,"215,500","267,200","267,200"
813,,,
813,,,
813,,,
813,"140,400","112,300","140,000"
813,,,
813,,,
813,"18,200","21,000","21,000"
813,"38,200","28,400","28,000"
813,"259,600","301,700","301,700"
813,,,
813,,,
813,,,
813,"257,700","294,600","280,000"
813,,,
813,,,
813,"28,300","28,600","28,600"
