1110,115,1,הנחות לזכאים ,623100,"-56,966,600","-51,000,000","-51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"115 סה""כ",,,,"-56,966,600","-51,000,000","-51,000,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
220,121,1,תעודות ואישורים ,888888,"-138,400","-153,500","-134,900",,,,,,,,,,,,,,,,,,,,,,,,,,
,"121 סה""כ",,,,"-138,400","-153,500","-134,900",,,,,,,,,,,,,,,,,,0,,,,,,,,
220,122,1,אגרת רשיונות לשלטים ,943000,"-3,718,000","-4,400,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"122 סה""כ",,,,"-3,718,000","-4,400,000","-4,000,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
290,129,1,מידע , ,"-1,900","-2,500",0,,,,,,,,,,,,,,,,,,,,,,,,,,
,"129 סה""כ",,,,"-1,900","-2,500",0,,,,,,,,,,,,,,,,,,0,,,,,,,,
910,190,1,משרד הפנים ,888888,"-894,600","-600,000","-1,081,000",,,,,,,,,,,,,,,,,,,,,,,,,,
911,190,1,מענקים מיוחדים , ,0,0,"-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"190 סה""כ",,,,"-894,600","-600,000","-1,381,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
300220,212,1,אסוף בעבור אשפה ,711000,"-22,300","-28,600","-298,004",,,,,,,,,,,,,,,,,,,,,,,,,,
,"212 סה""כ",,,,"-22,300","-28,600","-298,004",,,,,,,,,,,,,,,,,,0,,,,,,,,
200200,213,1,אגרת רשיונות לעסקים ,711000,"-117,200","-133,500","-124,100",,,,,,,,,,,,,,,,,,,,,,,,,,
,"213 סה""כ",,,,"-117,200","-133,500","-124,100",,,,,,,,,,,,,,,,,,0,,,,,,,,
200220,214,1,דמי בדיקה דגים ,712400,"-356,200",0,"-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
200490,214,1,דמי בדיקה ממפעלי בש ,712400,"-195,200","-161,600","-165,000",,,,,,,,,,,,,,,,,,,,,,,,,,
300210,214,1,אגרת רשיונות לכלבים ,712400,"-309,900","-334,600","-390,000",,,,,,,,,,,,,,,,,,,,,,,,,,
300410,214,1,דמי חיסון והסגר כלב ,712400,"-119,200","-99,300","-120,000",,,,,,,,,,,,,,,,,,,,,,,,,,
300960,214,1,הכנסות משרד החקלאות , ,"-20,000","-26,000","-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"214 סה""כ",,,,"-1,000,500","-621,500","-1,075,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
490,221,1,הכנסות ממטוח ,721000,"-15,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,"221 סה""כ",,,,"-15,000",0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,
100910,222,1,השת' מ.הפנים במשמר ,722100,"-10,300",0,"-48,700",,,,,,,,,,,,,,,,,,,,,,,,,,
,"222 סה""כ",,,,"-10,300",0,"-48,700",,,,,,,,,,,,,,,,,,0,,,,,,,,
640,223,1,שכד' ממקלטים ,723000,"-96,000","-112,500","-93,900",,,,,,,,,,,,,,,,,,,,,,,,,,
,"223 סה""כ",,,,"-96,000","-112,500","-93,900",,,,,,,,,,,,,,,,,,0,,,,,,,,
220,231,1,הכנסות בעד שרותים ה ,731000,"-113,700",0,"-114,200",,,,,,,,,,,,,,,,,,,,,,,,,,
,"231 סה""כ",,,,"-113,700",0,"-114,200",,,,,,,,,,,,,,,,,,0,,,,,,,,
100220,233,1,אגרת רשיונות בניה ,731000,"-14,283,400","-10,000,000","-10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"233 סה""כ",,,,"-14,283,400","-10,000,000","-10,000,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
960,241,1,משרד החקלאות , ,"-35,000","-45,500",0,,,,,,,,,,,,,,,,,,,,,,,,,,
